frame,elapsed_s,total_ms,det_ms,recog_ms,had_face
418,8.491,80.09,10.51,68.57,1
419,8.51,80.09,10.51,68.57,1
420,8.531,80.09,10.51,68.57,1
421,8.55,80.09,10.51,68.57,1
422,8.567,106.17,10.51,95.66,1
423,8.589,106.17,10.51,95.66,1
424,8.608,106.17,10.51,95.66,1
425,8.627,106.17,10.51,95.66,1
426,8.644,106.17,10.51,95.66,1
427,8.667,84.61,10.52,73.09,1
428,8.684,84.61,10.52,73.09,1
429,8.702,84.61,10.52,73.09,1
430,8.72,84.61,10.52,73.09,1
431,8.736,84.61,10.52,73.09,1
432,8.754,84.61,10.52,73.09,1
433,8.776,102.62,10.52,91.1,1
434,8.794,102.62,10.52,91.1,1
435,8.812,102.62,10.52,91.1,1
436,8.83,102.62,10.52,91.1,1
437,8.847,102.62,10.52,91.1,1
438,8.864,102.62,10.52,91.1,1
439,8.885,101.63,8.51,92.12,1
440,8.903,101.63,8.51,92.12,1
441,8.92,101.63,8.51,92.12,1
442,8.937,101.63,8.51,92.12,1
443,8.96,79.08,9.51,68.57,1
444,8.978,79.08,9.51,68.57,1
445,8.996,79.08,9.51,68.57,1
446,9.014,79.08,9.51,68.57,1
447,9.031,79.08,9.51,68.57,1
448,9.049,79.08,9.51,68.57,1
449,9.071,102.1,10.52,90.58,1
450,9.088,102.1,10.52,90.58,1
451,9.105,102.1,10.52,90.58,1
452,9.122,102.1,10.52,90.58,1
453,9.139,102.1,10.52,90.58,1
454,9.172,102.13,10.51,90.61,1
455,9.19,102.13,10.51,90.61,1
456,9.207,102.13,10.51,90.61,1
457,9.226,102.13,10.51,90.61,1
458,9.243,102.13,10.51,90.61,1
459,9.261,102.13,10.51,90.61,1
460,9.283,101.73,8.51,92.22,1
461,9.301,101.73,8.51,92.22,1
462,9.319,101.73,8.51,92.22,1
463,9.336,101.73,8.51,92.22,1
464,9.353,101.73,8.51,92.22,1
465,9.375,100.62,8.51,91.11,1
466,9.393,100.62,8.51,91.11,1
467,9.41,100.62,8.51,91.11,1
468,9.428,100.62,8.51,91.11,1
469,9.446,100.62,8.51,91.11,1
470,9.464,100.62,8.51,91.11,1
471,9.485,102.62,11.51,91.11,1
472,9.502,102.62,11.51,91.11,1
473,9.519,102.62,11.51,91.11,1
474,9.536,102.62,11.51,91.11,1
475,9.554,102.62,11.51,91.11,1
476,9.576,80.58,11.51,68.06,1
477,9.593,80.58,11.51,68.06,1
478,9.612,80.58,11.51,68.06,1
479,9.63,80.58,11.51,68.06,1
480,9.663,78.08,8.51,68.57,1
481,9.68,78.08,8.51,68.57,1
482,9.698,78.08,8.51,68.57,1
483,9.715,78.08,8.51,68.57,1
484,9.747,82.1,9.01,71.59,1
485,9.763,82.1,9.01,71.59,1
486,9.78,82.1,9.01,71.59,1
487,9.798,82.1,9.01,71.59,1
488,9.82,77.6,8.51,67.58,1
489,9.836,77.6,8.51,67.58,1
490,9.854,77.6,8.51,67.58,1
491,9.882,77.6,8.51,67.58,1
492,9.904,78.07,10.51,67.56,1
493,9.921,78.07,10.51,67.56,1
494,9.951,78.07,10.51,67.56,1
495,9.968,78.07,10.51,67.56,1
496,9.99,80.08,10.51,69.58,1
497,10.007,80.08,10.51,69.58,1
498,10.026,80.08,10.51,69.58,1
499,10.043,80.08,10.51,69.58,1
500,10.061,80.08,10.51,69.58,1
501,10.084,102.69,9.01,93.18,1
502,10.101,102.69,9.01,93.18,1
503,10.119,102.69,9.01,93.18,1
504,10.136,102.69,9.01,93.18,1
505,10.153,102.69,9.01,93.18,1
506,10.185,79.12,10.51,68.61,1
507,10.202,79.12,10.51,68.61,1
508,10.22,79.12,10.51,68.61,1
509,10.237,79.12,10.51,68.61,1
510,10.259,77.6,8.51,66.58,1
511,10.277,77.6,8.51,66.58,1
512,10.295,77.6,8.51,66.58,1
513,10.313,77.6,8.51,66.58,1
514,10.334,79.58,8.51,69.07,1
515,10.352,79.58,8.51,69.07,1
516,10.369,79.58,8.51,69.07,1
517,10.386,79.58,8.51,69.07,1
518,10.404,79.58,8.51,69.07,1
519,10.425,79.08,10.01,68.07,1
520,10.444,79.08,10.01,68.07,1
521,10.461,79.08,10.01,68.07,1
522,10.478,79.08,10.01,68.07,1
523,10.5,78.59,8.51,69.08,1
524,10.517,78.59,8.51,69.08,1
525,10.535,78.59,8.51,69.08,1
526,10.564,78.59,8.51,69.08,1
527,10.585,77.15,8.51,67.64,1
528,10.603,77.15,8.51,67.64,1
529,10.62,77.15,8.51,67.64,1
530,10.654,77.59,9.01,67.08,1
531,10.672,77.59,9.01,67.08,1
532,10.69,77.59,9.01,67.08,1
533,10.708,77.59,9.01,67.08,1
534,10.727,77.59,9.01,67.08,1
535,10.749,83.11,10.51,71.59,1
536,10.767,83.11,10.51,71.59,1
537,10.784,83.11,10.51,71.59,1
538,10.801,83.11,10.51,71.59,1
539,10.818,83.11,10.51,71.59,1
540,10.855,107.18,10.02,95.16,1
541,10.874,107.18,10.02,95.16,1
542,10.893,107.18,10.02,95.16,1
543,10.911,107.18,10.02,95.16,1
544,10.929,81.1,11.02,69.08,1
545,10.95,81.1,11.02,69.08,1
546,10.967,81.1,11.02,69.08,1
547,10.985,81.1,11.02,69.08,1
548,11.018,77.59,9.02,68.57,1
549,11.035,77.59,9.02,68.57,1
550,11.052,77.59,9.02,68.57,1
551,11.069,77.59,9.02,68.57,1
552,11.087,77.59,9.02,68.57,1
553,11.11,78.09,8.51,68.58,1
554,11.128,78.09,8.51,68.58,1
555,11.145,78.09,8.51,68.58,1
556,11.173,78.09,8.51,68.58,1
557,11.195,80.09,8.51,70.58,1
558,11.213,80.09,8.51,70.58,1
559,11.23,80.09,8.51,70.58,1
560,11.26,79.59,9.01,69.08,1
561,11.281,79.59,9.01,69.08,1
562,11.297,79.59,9.01,69.08,1
563,11.327,79.59,9.01,69.08,1
564,11.348,78.09,8.51,68.58,1
565,11.367,78.09,8.51,68.58,1
566,11.395,78.09,8.51,68.58,1
567,11.412,78.09,8.51,68.58,1
568,11.436,78.58,9.51,67.07,1
569,11.453,78.58,9.51,67.07,1
570,11.47,78.58,9.51,67.07,1
571,11.487,78.58,9.51,67.07,1
572,11.504,78.58,9.51,67.07,1
573,11.526,80.09,9.51,69.57,1
574,11.543,80.09,9.51,69.57,1
575,11.56,80.09,9.51,69.57,1
576,11.578,80.09,9.51,69.57,1
577,11.611,81.1,8.0,72.09,1
578,11.629,81.1,8.0,72.09,1
579,11.646,81.1,8.0,72.09,1
580,11.662,81.1,8.0,72.09,1
581,11.694,79.63,9.51,70.11,1
582,11.712,79.63,9.51,70.11,1
583,11.728,79.63,9.51,70.11,1
584,11.761,76.1,8.52,67.58,1
585,11.779,76.1,8.52,67.58,1
586,11.808,76.1,8.52,67.58,1
587,11.836,76.1,8.52,67.58,1
588,11.868,81.6,12.52,68.07,1
589,11.883,81.6,12.52,68.07,1
590,11.913,81.6,12.52,68.07,1
591,11.944,79.11,8.01,70.6,1
592,11.961,79.11,8.01,70.6,1
593,11.989,79.11,8.01,70.6,1
594,12.02,77.08,8.51,67.57,1
595,12.037,77.08,8.51,67.57,1
596,12.056,77.08,8.51,67.57,1
597,12.073,77.08,8.51,67.57,1
598,12.096,78.12,9.01,69.11,1
599,12.112,78.12,9.01,69.11,1
600,12.141,78.12,9.01,69.11,1
601,12.174,79.12,8.51,69.6,1
602,12.19,79.12,8.51,69.6,1
603,12.208,79.12,8.51,69.6,1
604,12.236,79.12,8.51,69.6,1
605,12.267,79.1,9.5,68.58,1
606,12.284,79.1,9.5,68.58,1
607,12.312,79.1,9.5,68.58,1
608,12.344,78.1,8.5,68.08,1
609,12.422,77.11,9.51,65.59,1
610,12.449,77.11,9.51,65.59,1
611,12.471,77.11,9.51,65.59,1
612,12.498,79.61,8.51,71.09,1
613,12.515,79.61,8.51,71.09,1
614,12.544,79.61,8.51,71.09,1
615,12.561,79.61,8.51,71.09,1
616,12.593,85.67,11.53,72.14,1
617,12.61,85.67,11.53,72.14,1
618,12.628,85.67,11.53,72.14,1
619,12.656,82.61,10.51,71.1,1
620,12.677,82.61,10.51,71.1,1
621,12.692,82.61,10.51,71.1,1
622,12.709,82.61,10.51,71.1,1
623,12.727,82.61,10.51,71.1,1
624,12.76,79.58,9.51,69.07,1
625,12.776,79.58,9.51,69.07,1
626,12.794,79.58,9.51,69.07,1
627,12.827,80.58,9.51,71.07,1
628,12.844,80.58,9.51,71.07,1
629,12.872,80.58,9.51,71.07,1
630,12.9,80.58,9.51,71.07,1
631,12.932,79.63,10.51,67.11,1
632,12.949,79.63,10.51,67.11,1
633,12.977,79.63,10.51,67.11,1
634,13.005,79.63,10.51,67.11,1
635,13.038,103.64,8.51,94.13,1
636,13.053,103.64,8.51,94.13,1
637,13.08,103.64,8.51,94.13,1
638,13.11,99.13,7.51,90.62,1
639,13.129,99.13,7.51,90.62,1
640,13.146,99.13,7.51,90.62,1
641,13.174,99.13,7.51,90.62,1
642,13.203,99.13,7.51,90.62,1
643,13.224,102.11,8.5,92.6,1
644,13.242,102.11,8.5,92.6,1
645,13.27,102.11,8.5,92.6,1
646,13.299,102.11,8.5,92.6,1
647,13.33,102.12,10.52,91.6,1
648,13.347,102.12,10.52,91.6,1
649,13.376,102.12,10.52,91.6,1
650,13.405,102.12,10.52,91.6,1
651,13.435,102.62,9.5,92.1,1
652,13.452,102.62,9.5,92.1,1
653,13.48,102.62,9.5,92.1,1
654,13.512,79.11,9.51,68.6,1
655,13.534,79.11,9.51,68.6,1
656,13.551,79.11,9.51,68.6,1
657,13.58,79.11,9.51,68.6,1
658,13.612,83.63,10.51,73.12,1
659,13.628,83.63,10.51,73.12,1
660,13.657,83.63,10.51,73.12,1
661,13.678,79.11,8.51,69.6,1
662,13.695,79.11,8.51,69.6,1
663,13.725,79.11,8.51,69.6,1
664,13.752,79.11,8.51,69.6,1
665,13.784,79.12,10.52,68.6,1
666,13.801,79.12,10.52,68.6,1
667,13.828,79.12,10.52,68.6,1
668,13.86,80.12,8.52,70.59,1
669,13.877,80.12,8.52,70.59,1
670,13.905,80.12,8.52,70.59,1
671,13.938,78.08,9.02,68.07,1
672,13.953,78.08,9.02,68.07,1
673,13.971,78.08,9.02,68.07,1
674,13.989,78.08,9.02,68.07,1
675,14.01,80.08,9.51,70.57,1
676,14.028,80.08,9.51,70.57,1
677,14.044,80.08,9.51,70.57,1
678,14.073,80.08,9.51,70.57,1
679,14.105,80.1,10.51,68.57,1
680,14.123,80.1,10.51,68.57,1
681,14.141,80.1,10.51,68.57,1
682,14.168,80.1,10.51,68.57,1
683,14.2,79.61,9.52,70.09,1
684,14.216,79.61,9.52,70.09,1
685,14.244,79.61,9.52,70.09,1
686,14.276,76.57,8.51,67.06,1
687,14.292,76.57,8.51,67.06,1
688,14.321,76.57,8.51,67.06,1
689,14.353,77.6,8.0,68.59,1
690,14.369,77.6,8.0,68.59,1
691,14.393,54.05,8.51,45.54,1
692,14.409,54.05,8.51,45.54,1
693,14.438,54.05,8.51,45.54,1
